Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
Odsonne douard,fr FRA,"FW,MF",26-108,16.6,43.0,2.59,28.0,0.0,6.0,7.0,1.0,1.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Jeffrey Schlupp,gh GHA,"FW,MF",31-132,14.9,28.0,1.87,21.0,0.0,2.0,1.0,2.0,2.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Dean Henderson,eng ENG,GK,27-052,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Muoz,co COL,"DF,MF",27-343,13.0,28.0,2.16,22.0,1.0,1.0,0.0,2.0,2.0,3.0,0.23,2.0,0.0,1.0,0.0,0.0,0.0,Matches
Adam Wharton,eng ENG,MF,19-336,11.5,31.0,2.71,24.0,7.0,0.0,0.0,0.0,0.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathaniel Clyne,eng ENG,DF,33-028,12.0,5.0,0.42,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Olise,fr FRA,"FW,MF",22-143,11.3,68.0,6.04,35.0,13.0,9.0,5.0,6.0,0.0,9.0,0.8,8.0,0.0,1.0,0.0,0.0,0.0,Matches
Cheick Doucour,ml MLI,MF,24-116,10.2,23.0,2.25,19.0,0.0,1.0,2.0,0.0,1.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Jaro Riedewald,nl NED,"MF,FW",27-237,2.3,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Frana,br BRA,"MF,FW",20-032,2.6,8.0,3.1,4.0,3.0,0.0,0.0,1.0,0.0,2.0,0.78,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Naouirou Ahamada,fr FRA,"MF,FW",22-035,3.1,9.0,2.88,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.96,3.0,0.0,0.0,0.0,0.0,0.0,Matches
David Ozoh,eng ENG,"MF,DF",18-338,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",21-211,1.5,6.0,3.97,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Tomkins,eng ENG,DF,35-035,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Remi Matthews,eng ENG,GK,30-083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordan Pickford,eng ENG,GK,30-057,35.0,24.0,0.69,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Tarkowski,eng ENG,DF,31-166,35.0,40.0,1.14,34.0,0.0,1.0,4.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,Matches
