Player Named,Player Nationality,Player Position,Player Age,90 Minutes Played,Shot-Creating Actions (SCA),Shot-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Goal-Creating Actions (GCA),Goal-Creating Actions per 90 Minutes,Passes Leading to Goal-Creating Actions (Live),Passes Leading to Goal-Creating Actions (Dead),Through Balls Leading to Goal-Creating Actions,Shots Leading to Goal-Creating Actions,Fouls Leading to Goal-Creating Actions,Defensive Actions Leading to Goal-Creating Actions,Matches Played
Jordan Clark,eng ENG,MF,30-224,13.1,24.0,1.83,19.0,0.0,1.0,3.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Elijah Adebayo,eng ENG,FW,26-117,13.1,26.0,1.99,18.0,0.0,3.0,4.0,1.0,0.0,3.0,0.23,1.0,0.0,0.0,2.0,0.0,0.0,Matches
Marvelous Nakamba,zw ZIM,MF,30-105,12.6,13.0,1.03,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Albert Sambi Lokonga,be BEL,MF,24-194,11.5,20.0,1.74,17.0,0.0,0.0,1.0,1.0,1.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Jacob Brown,sct SCO,"MF,FW",26-023,11.3,15.0,1.33,10.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pelly Ruddock Mpanzu,cd COD,MF,30-291,12.0,19.0,1.58,12.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daiki Hashioka,jp JPN,DF,24-352,5.6,6.0,1.07,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ryan John Giles,eng ENG,"DF,MF",24-098,5.6,12.0,2.15,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mads Juel Andersen,dk DEN,DF,26-128,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cauley Woodrow,eng ENG,"FW,MF",29-153,4.3,14.0,3.25,11.0,0.0,1.0,2.0,0.0,0.0,2.0,0.46,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Luke Berry,eng ENG,"MF,DF",31-296,3.5,4.0,1.14,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.28,0.0,0.0,1.0,0.0,0.0,0.0,Matches
Fred Onyedinma,eng ENG,"DF,MF",27-161,3.0,3.0,1.02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zack Nelson,eng ENG,"MF,DF",19-222,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joseph Johnson,eng ENG,DF,18-072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sander Berge,no NOR,MF,26-079,30.4,59.0,1.94,56.0,0.0,2.0,0.0,1.0,0.0,6.0,0.2,6.0,0.0,0.0,0.0,0.0,0.0,Matches
Dara OShea,ie IRL,DF,25-060,29.1,29.0,1.0,25.0,0.0,0.0,2.0,1.0,1.0,6.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,Matches
James Trafford,eng ENG,GK,21-206,28.0,7.0,0.25,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Zeki Amdouni,ch SUI,FW,23-151,20.8,47.0,2.26,27.0,0.0,5.0,7.0,5.0,3.0,4.0,0.19,1.0,0.0,2.0,0.0,1.0,0.0,Matches
Vitinho,br BRA,"DF,MF",24-285,23.4,43.0,1.84,32.0,2.0,4.0,3.0,1.0,1.0,5.0,0.21,4.0,0.0,0.0,0.0,1.0,0.0,Matches
Charlie Taylor,eng ENG,DF,30-228,24.1,31.0,1.29,28.0,0.0,0.0,2.0,1.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,Matches
Josh Brownhill,eng ENG,MF,28-136,23.9,64.0,2.68,37.0,19.0,1.0,3.0,3.0,1.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,Matches
Wilson Odobert,fr FRA,"MF,FW",19-157,20.3,65.0,3.2,46.0,0.0,10.0,6.0,3.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0,Matches
Josh Cullen,ie IRL,MF,28-026,20.0,57.0,2.85,47.0,6.0,0.0,1.0,2.0,1.0,8.0,0.4,6.0,2.0,0.0,0.0,0.0,0.0,Matches
Lyle Foster,za RSA,"FW,MF",23-243,18.2,33.0,1.81,27.0,0.0,2.0,3.0,1.0,0.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordan Beyer,de GER,DF,23-350,13.7,10.0,0.73,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jacob Bruun Larsen,dk DEN,"MF,FW",25-227,11.8,39.0,3.3,27.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Koleosho,it ITA,"MF,FW",19-231,10.8,28.0,2.59,12.0,0.0,11.0,2.0,3.0,0.0,6.0,0.56,2.0,0.0,3.0,0.0,1.0,0.0,Matches
Jhann Berg Gumundsson,is ISL,MF,33-189,12.4,43.0,3.46,25.0,15.0,0.0,1.0,2.0,0.0,4.0,0.32,3.0,1.0,0.0,0.0,0.0,0.0,Matches
Maxime Estve,fr FRA,DF,21-343,12.1,5.0,0.41,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ameen AlDakhil,be BEL,DF,22-058,11.7,8.0,0.68,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenz Assignon,tg TOG,DF,23-316,11.2,19.0,1.69,14.0,3.0,1.0,0.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,Matches
David Datro Fofana,ci CIV,FW,21-133,9.7,17.0,1.76,7.0,0.0,4.0,4.0,1.0,1.0,2.0,0.21,0.0,0.0,2.0,0.0,0.0,0.0,Matches
Connor Roberts,wls WAL,DF,28-223,9.1,18.0,1.97,13.0,5.0,0.0,0.0,0.0,0.0,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Jay Rodriguez,eng ENG,FW,34-279,9.0,13.0,1.45,7.0,0.0,2.0,4.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Arijanet Muric,xk KVX,GK,25-178,7.0,3.0,0.43,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Hannes Delcroix,be BEL,DF,25-065,6.5,7.0,1.07,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aaron Ramsey,eng ENG,"MF,FW",21-103,5.9,5.0,0.85,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hjalmar Ekdal,se SWE,DF,25-195,4.3,2.0,0.46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mike Trsor,be BEL,"FW,MF",24-341,4.6,10.0,2.19,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anass Zaroury,ma MAR,"FW,MF",23-178,1.7,2.0,1.18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benson Manuel,be BEL,"MF,FW",27-036,1.1,6.0,5.63,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathan Redmond,eng ENG,"FW,MF",30-058,1.6,8.0,5.07,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Obafemi,ie IRL,"FW,MF",23-302,0.2,1.0,4.29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.29,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jack Cork,eng ENG,MF,34-313,0.2,1.0,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
HanNoah Massengo,fr FRA,"MF,DF",22-301,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Hamer,nl NED,MF,26-314,29.3,101.0,3.44,62.0,20.0,9.0,6.0,4.0,0.0,12.0,0.41,9.0,1.0,2.0,0.0,0.0,0.0,Matches
Jayden Bogle,eng ENG,DF,23-281,28.0,28.0,1.0,23.0,1.0,1.0,1.0,2.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Jack Robinson,eng ENG,DF,30-245,29.1,21.0,0.72,10.0,7.0,0.0,3.0,0.0,1.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Vinicius Souza,br BRA,MF,24-321,27.5,25.0,0.91,22.0,0.0,0.0,1.0,0.0,2.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,Matches
Anel Ahmedhodi,ba BIH,DF,25-038,27.4,25.0,0.91,22.0,0.0,0.0,3.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Wes Foderingham,eng ENG,GK,33-110,26.4,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Auston Trusty,us USA,DF,25-265,25.6,14.0,0.55,10.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Mcatee,eng ENG,"MF,FW",21-198,20.0,60.0,3.01,45.0,4.0,5.0,4.0,2.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Cameron Archer,eng ENG,"FW,MF",22-287,18.0,42.0,2.34,27.0,0.0,8.0,5.0,1.0,1.0,3.0,0.17,1.0,0.0,1.0,1.0,0.0,0.0,Matches
Oliver Norwood,nir NIR,MF,33-021,16.0,32.0,2.0,19.0,12.0,0.0,1.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Oliver McBurnie,sct SCO,FW,27-334,14.2,29.0,2.04,24.0,0.0,0.0,2.0,3.0,0.0,7.0,0.49,6.0,0.0,0.0,0.0,1.0,0.0,Matches
Ben Osborn,eng ENG,"DF,MF",29-272,14.1,20.0,1.41,18.0,1.0,0.0,0.0,1.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0,Matches
George Baldock,gr GRE,DF,31-055,10.8,16.0,1.49,10.0,3.0,2.0,0.0,1.0,0.0,2.0,0.19,1.0,0.0,0.0,0.0,1.0,0.0,Matches
Luke Thomas,eng ENG,DF,22-328,10.2,10.0,0.98,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ben Brereton,cl CHI,"FW,MF",25-015,9.5,22.0,2.31,14.0,0.0,4.0,2.0,1.0,1.0,3.0,0.32,2.0,0.0,1.0,0.0,0.0,0.0,Matches
Andre Brooks,eng ENG,"MF,DF",20-257,8.8,6.0,0.68,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
William Osula,dk DEN,FW,20-273,8.7,12.0,1.37,3.0,0.0,1.0,5.0,3.0,0.0,1.0,0.11,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Ivo Grbi,hr CRO,GK,28-106,8.6,2.0,0.23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mason Holgate,eng ENG,DF,27-194,7.6,4.0,0.52,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oliver Arblaster,eng ENG,MF,19-364,8.1,18.0,2.22,14.0,2.0,0.0,1.0,0.0,1.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,Matches
John Egan,ie IRL,DF,31-196,5.4,1.0,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yasser Larouci,dz ALG,DF,23-123,5.3,8.0,1.51,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anis Ben Slimane,tn TUN,MF,23-048,4.3,8.0,1.88,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Max Lowe,eng ENG,"DF,MF",26-358,4.4,4.0,0.9,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Bnie Adama Traore,ci CIV,"FW,MF",21-155,4.3,6.0,1.4,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Chris Basham,eng ENG,"DF,MF",35-288,3.6,3.0,0.84,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rhian Brewster,eng ENG,"FW,MF",24-032,3.4,6.0,1.76,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tom Davies,eng ENG,MF,25-308,2.5,6.0,2.44,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.41,0.0,0.0,0.0,0.0,0.0,1.0,Matches
Rhys NorringtonDavies,wls WAL,DF,25-011,1.2,1.0,0.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
John Fleck,sct SCO,"MF,DF",32-253,1.0,4.0,3.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antwoine Hackford,eng ENG,FW,20-044,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sydie Peck,eng ENG,MF,19-233,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ryan One,sct SCO,FW,17-312,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Halter,br BRA,DF,24-001,3.8,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jnior Santos,br BRA,"FW,MF",29-205,3.4,8.0,2.35,5.0,0.0,2.0,0.0,1.0,0.0,4.0,1.17,2.0,0.0,2.0,0.0,0.0,0.0,Matches
Bastos,ao ANG,DF,33-037,3.4,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Hugo,br BRA,DF,22-226,3.5,7.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,0.57,0.0,1.0,0.0,0.0,1.0,0.0,Matches
Gatito Fernndez,py PAR,GK,36-035,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateo Ponte,uy URU,DF,20-345,2.5,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Luiz Henrique,br BRA,MF,23-122,2.3,5.0,2.13,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Marlon Freitas,br BRA,MF,29-037,2.2,6.0,2.67,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jeffinho,br BRA,"MF,FW",24-125,2.2,9.0,4.11,5.0,1.0,1.0,2.0,0.0,0.0,1.0,0.46,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jefferson Savarino,ve VEN,"MF,FW",27-174,2.7,9.0,3.38,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Tiquinho Soares,br BRA,FW,33-107,2.2,4.0,1.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Danilo Barbosa,br BRA,"MF,DF",28-065,2.1,4.0,1.95,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.97,0.0,0.0,0.0,1.0,1.0,0.0,Matches
Gregore,br BRA,MF,30-062,1.9,4.0,2.06,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tch Tch,br BRA,MF,31-247,2.1,8.0,3.81,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.48,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Damin Surez,uy URU,DF,36-006,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
John,br BRA,GK,28-080,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Eduardo,br BRA,FW,34-199,1.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Maral,br BRA,DF,35-074,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Nascimento,br BRA,FW,20-061,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Hernndez,uy URU,"MF,FW",23-316,0.8,2.0,2.65,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.65,1.0,0.0,1.0,0.0,0.0,0.0,Matches
scar Romero,py PAR,"FW,MF",31-304,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pablo,br BRA,DF,32-317,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexander Barboza,ar ARG,DF,29-048,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jacob Montes,ni NCA,"FW,MF",25-196,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Patrick de Paula,br BRA,MF,24-238,0.1,,,,,,,,,,,,,,,,,Matches
verson,br BRA,GK,33-286,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Otvio,br BRA,MF,29-365,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,Matches
Renzo Saravia,ar ARG,DF,30-322,4.0,6.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paulinho,br BRA,"FW,MF",23-293,3.5,11.0,3.15,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Franco,ec ECU,MF,25-256,3.0,7.0,2.36,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Hulk,br BRA,FW,37-283,2.9,15.0,5.23,5.0,3.0,1.0,1.0,5.0,0.0,2.0,0.7,1.0,0.0,0.0,1.0,0.0,0.0,Matches
Mauricio Lemos,uy URU,DF,28-127,2.7,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Scarpa,br BRA,"MF,FW",30-119,2.6,15.0,5.79,10.0,2.0,0.0,1.0,2.0,0.0,2.0,0.77,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Zaracho,ar ARG,MF,26-054,2.3,9.0,3.99,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme Arana,br BRA,DF,27-019,3.1,9.0,2.87,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Igor Gomes,br BRA,MF,25-047,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jemerson,br BRA,DF,31-253,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Battaglia,ar ARG,DF,32-296,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Igor Rabello,br BRA,DF,29-005,2.1,2.0,0.96,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Vargas,cl CHI,FW,34-165,1.3,7.0,5.43,4.0,0.0,0.0,0.0,3.0,0.0,2.0,1.55,0.0,0.0,0.0,0.0,2.0,0.0,Matches
Alisson,br BRA,"DF,FW",18-225,1.3,3.0,2.35,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Fuchs,br BRA,DF,25-032,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rubens,br BRA,DF,22-317,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedrinho,br BRA,MF,26-020,0.3,1.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Kardec,br BRA,FW,35-112,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Eduardo,br BRA,FW,19-345,0.1,3.0,24.55,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luan Cndido,br BRA,DF,23-091,4.0,5.0,1.25,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Sasha,br BRA,FW,32-069,3.3,7.0,2.14,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavinho,br BRA,MF,20-010,3.1,15.0,4.8,7.0,7.0,1.0,0.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Juninho Capixaba,br BRA,"DF,MF",26-302,2.9,2.0,0.68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jadsom,br BRA,MF,22-349,3.1,4.0,1.29,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Henry Mosquera,co COL,"FW,MF",22-170,3.0,4.0,1.33,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jos Hurtado,ec ECU,DF,22-132,3.0,9.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,0.67,1.0,0.0,0.0,1.0,0.0,0.0,Matches
Douglas Mendes,br BRA,DF,19-325,3.0,2.0,0.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cleiton Schwengber,br BRA,GK,26-258,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vitinho,br BRA,"FW,MF",25-032,2.5,11.0,4.42,4.0,4.0,1.0,1.0,1.0,0.0,4.0,1.61,1.0,1.0,1.0,0.0,1.0,0.0,Matches
Eric Ramires,br BRA,"MF,FW",23-267,2.3,5.0,2.14,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignacio Laquintana,uy URU,"FW,MF",25-092,1.8,4.0,2.18,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Raul,br BRA,MF,27-297,1.4,3.0,2.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luco,br BRA,GK,23-067,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme,br BRA,DF,22-079,1.2,2.0,1.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Henrique,br BRA,MF,19-028,1.0,,,,,,,,,,,,,,,,,Matches
Nathan Mendes,br BRA,DF,21-258,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Bruninho,br BRA,"FW,MF",21-050,0.9,5.0,5.7,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.14,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Thiago Borbas,uy URU,FW,22-026,1.2,4.0,3.24,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Santos,br BRA,"DF,MF",26-157,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Cunha,br BRA,DF,27-101,0.3,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lincoln,br BRA,MF,25-178,0.3,1.0,3.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
